日期,國家,城市,項目,次數,min,max,median,variance
2021-04-07,TW,Taitung City,pressure,38,1014.5,1019.0,1016.8,18.54
2021-06-02,TW,Taitung City,pressure,38,1006.5,1010.0,1008.3,9.11
2021-07-06,TW,Taitung City,pressure,39,1006.3,1012.7,1008.7,20.02
2021-02-13,TW,Taitung City,pressure,39,1013.5,1017.0,1014.9,8.36
2021-05-27,TW,Taitung City,pressure,39,1005.7,1009.3,1007.5,9.97
2021-04-28,TW,Taitung City,pressure,39,1013.1,1018.0,1015.0,18.29
2021-05-24,TW,Taitung City,pressure,41,1008.0,1012.2,1010.0,12.56
2021-08-07,TW,Taitung City,pressure,39,995.0,1002.2,997.5,27.74
2021-08-29,TW,Taitung City,pressure,39,1010.5,1013.5,1012.3,7.02
2021-03-07,TW,Taitung City,pressure,39,1016.0,1020.0,1018.0,15.89
2021-04-14,TW,Taitung City,pressure,39,1011.8,1015.0,1013.8,10.31
2021-05-28,TW,Taitung City,pressure,39,1004.3,1010.0,1007.9,30.84
2021-08-20,TW,Taitung City,pressure,41,1008.9,1012.0,1010.5,6.25
2021-01-08,TW,Taitung City,pressure,40,1020.9,1025.0,1022.3,13.14
2021-05-02,TW,Taitung City,pressure,39,1012.3,1016.3,1015.0,11.25
2021-07-28,TW,Taitung City,pressure,39,995.9,1000.4,998.5,12.89
2021-09-10,TW,Taitung City,pressure,42,1006.1,1010.5,1008.0,20.14
2021-09-18,TW,Taitung City,pressure,36,1011.0,1014.3,1012.1,9.51
2021-02-27,TW,Taitung City,pressure,39,1011.2,1016.1,1013.3,19.14
2021-04-08,TW,Taitung City,pressure,38,1012.5,1016.0,1014.0,11.16
2021-04-20,TW,Taitung City,pressure,39,1012.4,1015.0,1013.9,7.90
2021-04-21,TW,Taitung City,pressure,39,1009.5,1014.0,1012.0,18.73
2021-04-29,TW,Taitung City,pressure,39,1010.9,1013.6,1012.0,5.86
2021-02-10,TW,Taitung City,pressure,40,1013.9,1019.7,1016.0,29.91
2021-04-02,TW,Taitung City,pressure,40,1007.9,1012.0,1010.0,11.97
2021-05-29,TW,Taitung City,pressure,39,1004.1,1009.0,1007.4,22.10
2021-06-23,TW,Taitung City,pressure,39,1004.3,1008.3,1006.5,13.33
2021-06-25,TW,Taitung City,pressure,40,1004.7,1008.3,1006.7,8.17
2021-08-28,TW,Taitung City,pressure,39,1010.8,1014.0,1012.5,9.05
2021-03-09,TW,Taitung City,pressure,39,1017.7,1022.0,1019.6,13.74
2021-05-10,TW,Taitung City,pressure,40,1008.0,1011.0,1009.9,10.99
2021-07-09,TW,Taitung City,pressure,39,1010.4,1012.9,1011.4,3.80
2021-08-19,TW,Taitung City,pressure,45,1007.3,1011.0,1009.3,8.95
2021-09-15,TW,Taitung City,pressure,39,1009.6,1012.1,1010.7,5.15
2021-03-11,TW,Taitung City,pressure,39,1017.9,1023.0,1020.3,21.11
2021-06-15,TW,Taitung City,pressure,39,1002.1,1005.0,1003.0,7.57
2021-08-15,TW,Taitung City,pressure,48,1008.2,1013.5,1011.0,17.95
2021-08-27,TW,Taitung City,pressure,38,1011.6,1014.0,1013.0,5.38
2021-05-08,TW,Taitung City,pressure,39,1005.9,1012.3,1010.0,35.16
2021-05-13,TW,Taitung City,pressure,39,1008.8,1012.0,1010.0,6.85
2021-05-17,TW,Taitung City,pressure,39,1009.2,1012.0,1010.5,7.07
2021-06-16,TW,Taitung City,pressure,39,1002.1,1006.0,1004.0,11.10
2021-02-05,TW,Taitung City,pressure,42,1018.1,1022.5,1020.0,18.73
2021-03-16,TW,Taitung City,pressure,39,1012.2,1016.0,1014.1,10.46
2021-08-17,TW,Taitung City,pressure,48,1008.9,1013.0,1011.3,11.86
